Abbreviation,OfficialName,"Equation (note [c] and [e] at the beginning refer to the compartment the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,ProteinClassDescription,Ref. (listed below),,,
DCTPD,dCTP deaminase,[c]dctp + h + h2o --> dutp + nh4,Nucleotide Salvage Pathways,EC-3.5.4.13,,,,
TMDPP,thymidine phosphorylase,[c]pi + thymd <==> 2dr1p + thym,Nucleotide Salvage Pathways,EC-2.4.2.4,,,,
DURIPP,deoxyuridine phosphorylase,[c]duri + pi <==> 2dr1p + ura,Nucleotide Salvage Pathways,,,,,
NTPTP1,Nucleoside triphosphate tripolyhydrolase,[c]dgtp + h2o --> dgsn + pppi,Nucleotide Salvage Pathways,EC-3.1.5.1,117,,,
NTPTP2,Nucleoside triphosphate tripolyhydrolase,[c]gtp + h2o --> gsn + pppi,Nucleotide Salvage Pathways,EC-3.1.5.1,117,,,
DUTPDP,dUTP diphosphatase,[c]dutp + h2o --> dump + h + ppi,Nucleotide Salvage Pathways,EC-3.6.1.23,,,,
GK1,guanylate kinase (GMP:ATP),[c]atp + gmp <==> adp + gdp,Nucleotide Salvage Pathways,EC-2.7.4.8,,,,
DGK1,deoxyguanylate kinase (dGMP:ATP),[c]atp + dgmp <==> adp + dgdp,Nucleotide Salvage Pathways,EC-2.7.4.8,,,,
XPPT,xanthine phosphoribosyltransferase,[c]prpp + xan --> ppi + xmp,Nucleotide Salvage Pathways,EC-2.4.2.22,,,,
HXPRT,hypoxanthine phosphoribosyltransferase (Hypoxanthine),[c]hxan + prpp --> imp + ppi,Nucleotide Salvage Pathways,EC-2.4.2.8,,,,
GUAPRT,guanine phosphoribosyltransferase,[c]gua + prpp --> gmp + ppi,Nucleotide Salvage Pathways,,,,,
INSK,insosine kinase,[c]atp + ins --> adp + h + imp,Nucleotide Salvage Pathways,EC-2.7.1.73,,,,
GSNK,guanosine kinase,[c]atp + gsn --> adp + gmp + h,Nucleotide Salvage Pathways,,,,,
NTPP3,Nucleoside triphosphate pyrophosphorylase (dctp),[c]dctp + h2o --> dcmp + h + ppi,Nucleotide Salvage Pathways,,123,,,
NTPP4,Nucleoside triphosphate pyrophosphorylase (ctp),[c]ctp + h2o --> cmp + h + ppi,Nucleotide Salvage Pathways,,123,,,
NTPP5,Nucleoside triphosphate pyrophosphorylase (datp),[c]datp + h2o --> damp + h + ppi,Nucleotide Salvage Pathways,,123,,,
NTPP6,Nucleoside triphosphate pyrophosphorylase (atp),[c]atp + h2o --> amp + h + ppi,Nucleotide Salvage Pathways,,123,,,
NTPP7,Nucleoside triphosphate pyrophosphorylase (dttp),[c]dttp + h2o --> dtmp + h + ppi,Nucleotide Salvage Pathways,,123,,,
NTPP8,Nucleoside triphosphate pyrophosphorylase (utp),[c]h2o + utp --> h + ppi + ump,Nucleotide Salvage Pathways,,123,,,
NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp),[c]dgtp + h2o --> dgmp + h + ppi,Nucleotide Salvage Pathways,,7,,,
NTPP2,Nucleoside triphosphate pyrophosphorylase (gtp),[c]gtp + h2o --> gmp + h + ppi,Nucleotide Salvage Pathways,,7,,,
NDPK1,nucleoside-diphosphate kinase (ATP:GDP),[c]atp + gdp <==> adp + gtp,Nucleotide Salvage Pathways,EC-2.7.4.6,,,,
NDPK2,nucleoside-diphosphate kinase (ATP:UDP),[c]atp + udp <==> adp + utp,Nucleotide Salvage Pathways,EC-2.7.4.6,,,,
NDPK3,nucleoside-diphosphate kinase (ATP:CDP),[c]atp + cdp <==> adp + ctp,Nucleotide Salvage Pathways,EC-2.7.4.6,,,,
NDPK5,nucleoside-diphosphate kinase (ATP:dGDP),[c]atp + dgdp <==> adp + dgtp,Nucleotide Salvage Pathways,EC-2.7.4.6,,,,
NDPK6,nucleoside-diphosphate kinase (ATP:dUDP),[c]atp + dudp <==> adp + dutp,Nucleotide Salvage Pathways,EC-2.7.4.6,,,,
NDPK7,nucleoside-diphosphate kinase (ATP:dCDP),[c]atp + dcdp <==> adp + dctp,Nucleotide Salvage Pathways,EC-2.7.4.6,,,,
NDPK8,nucleoside-diphosphate kinase (ATP:dADP),[c]atp + dadp <==> adp + datp,Nucleotide Salvage Pathways,EC-2.7.4.6,,,,
NDPK4,nucleoside-diphosphate kinase (ATP:dTDP),[c]atp + dtdp <==> adp + dttp,Nucleotide Salvage Pathways,EC-2.7.4.6,,,,
RNDR1,ribonucleoside-diphosphate reductase (ADP),[c]adp + trdrd --> dadp + h2o + trdox,Nucleotide Salvage Pathways,EC-1.17.4.1,,,,
RNDR2,ribonucleoside-diphosphate reductase (GDP),[c]gdp + trdrd --> dgdp + h2o + trdox,Nucleotide Salvage Pathways,EC-1.17.4.1,,,,
RNDR4,ribonucleoside-diphosphate reductase (UDP),[c]trdrd + udp --> dudp + h2o + trdox,Nucleotide Salvage Pathways,EC-1.17.4.1,,,,
RNDR3,ribonucleoside-diphosphate reductase (CDP),[c]cdp + trdrd --> dcdp + h2o + trdox,Nucleotide Salvage Pathways,EC-1.17.4.1,,,,
RNTR1,ribonucleoside-triphosphate reductase (ATP),[c]atp + trdrd --> datp + h2o + trdox,Nucleotide Salvage Pathways,EC-1.17.4.2,,,,
RNTR2,ribonucleoside-triphosphate reductase (GTP),[c]gtp + trdrd --> dgtp + h2o + trdox,Nucleotide Salvage Pathways,EC-1.17.4.2,,,,
RNTR3,ribonucleoside-triphosphate reductase (CTP),[c]ctp + trdrd --> dctp + h2o + trdox,Nucleotide Salvage Pathways,EC-1.17.4.2,,,,
RNTR4,ribonucleoside-triphosphate reductase (UTP),[c]trdrd + utp --> dutp + h2o + trdox,Nucleotide Salvage Pathways,EC-1.17.4.2,,,,
URIDK2r,uridylate kinase (dUMP),[c]atp + dump <==> adp + dudp,Nucleotide Salvage Pathways,,,,,
DURIK1,deoxyuridine kinase (ATP:Deoxyuridine),[c]atp + duri --> adp + dump + h,Nucleotide Salvage Pathways,,,,,
TMDK1,thymidine kinase (ATP:thymidine),[c]atp + thymd --> adp + dtmp + h,Nucleotide Salvage Pathways,EC-2.7.1.21,,,,
TMDS,thymidylate synthase,[c]dump + mlthf --> dhf + dtmp,Nucleotide Salvage Pathways,EC-2.1.1.45,,,,
DTMPK,dTMP kinase,[c]atp + dtmp <==> adp + dtdp,Nucleotide Salvage Pathways,EC-2.7.4.9,,,,
URIK2,uridine kinase (GTP:Uridine),[c]gtp + uri --> gdp + h + ump,Nucleotide Salvage Pathways,EC-2.7.1.48,,,,
CYTDK2,cytidine kinase (GTP),[c]cytd + gtp --> cmp + gdp + h,Nucleotide Salvage Pathways,,,,,
PYNP2r,pyrimidine-nucleoside phosphorylase (uracil),[c]pi + uri <==> r1p + ura,Nucleotide Salvage Pathways,EC-2.4.2.2,,,,
UPPRT,uracil phosphoribosyltransferase,[c]prpp + ura --> ppi + ump,Nucleotide Salvage Pathways,EC-2.4.2.9,,,,
NTD1,5'-nucleotidase (dUMP),[c]dump + h2o --> duri + pi,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD5,5'-nucleotidase (dTMP),[c]dtmp + h2o --> pi + thymd,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD6,5'-nucleotidase (dAMP),[c]damp + h2o --> dad-2 + pi,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD8,5'-nucleotidase (dGMP),[c]dgmp + h2o --> dgsn + pi,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD3,5'-nucleotidase (dCMP),[c]dcmp + h2o --> dcyt + pi,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD4,5'-nucleotidase (CMP),[c]cmp + h2o --> cytd + pi,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD7,5'-nucleotidase (AMP),[c]amp + h2o --> adn + pi,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD9,5'-nucleotidase (GMP),[c]gmp + h2o --> gsn + pi,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD11,5'-nucleotidase (IMP),[c]h2o + imp --> ins + pi,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD10,5'-nucleotidase (XMP),[c]h2o + xmp --> pi + xtsn,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
NTD2,5'-nucleotidase (UMP),[c]h2o + ump --> pi + uri,Nucleotide Salvage Pathways,EC-3.1.3.5,,,,
PUNP6,purine-nucleoside phosphorylase (Deoxyinosine),[c]din + pi <==> 2dr1p + hxan,Nucleotide Salvage Pathways,EC-2.4.2.1,,,,
PUNP5,purine-nucleoside phosphorylase (Inosine),[c]ins + pi <==> hxan + r1p,Nucleotide Salvage Pathways,EC-2.4.2.1,,,,
PUNP2,purine-nucleoside phosphorylase (Deoxyadenosine),[c]dad-2 + pi <==> 2dr1p + ade,Nucleotide Salvage Pathways,EC-2.4.2.1,,,,
PUNP4,purine-nucleoside phosphorylase (Deoxyguanosine),[c]dgsn + pi <==> 2dr1p + gua,Nucleotide Salvage Pathways,EC-2.4.2.1,,,,
PUNP1,purine-nucleoside phosphorylase (Adenosine),[c]adn + pi <==> ade + r1p,Nucleotide Salvage Pathways,EC-2.4.2.1,,,,
PUNP3,purine-nucleoside phosphorylase (Guanosine),[c]gsn + pi <==> gua + r1p,Nucleotide Salvage Pathways,EC-2.4.2.1,,,,
PUNP7,purine-nucleoside phosphorylase (Xanthosine),[c]pi + xtsn <==> r1p + xan,Nucleotide Salvage Pathways,EC-2.4.2.1,,,,
GUAD,guanine deaminase,[c]gua + h + h2o --> nh4 + xan,Nucleotide Salvage Pathways,EC-3.5.4.3,71,,,
ADD,adenine deaminase,[c]ade + h + h2o --> hxan + nh4,Nucleotide Salvage Pathways,EC-3.5.4.2,,,,
L-LACD2,L-Lactate dehydrogenase (ubiquinone),[c]lac-L + q8 --> pyr + q8h2,Oxidative phosphorylation,EC-1.1.2.3,140,,,
L-LACD3,L-Lactate dehydrogenase (menaquinone),[c]lac-L + mqn8 --> mql8 + pyr,Oxidative phosphorylation,EC-1.1.2.3,140,,,
ATPS4r,ATP synthase (four protons for one ATP),adp[c] + (4) h[e] + pi[c] <==> atp[c] + (3) h[c] + h2o[c],Oxidative phosphorylation,EC-3.6.3.14,,,,
CRNBTCT,gamma-butyrobetainyl-CoA: carnitine CoA transferase,[c]bbtcoa + crn <==> crncoa + gbbtn,Oxidative phosphorylation,,"28,113",,,
CRNCBCT,crotonobetainyl-CoA: carnitine CoA transferase,[c]crn + ctbtcoa <==> crncoa + ctbt,Oxidative phosphorylation,,"28,113",,,
CRNCDH,Carnityl-CoA dehydratse,[c]crncoa <==> ctbtcoa + h2o,Oxidative phosphorylation,,"28,113",,,
CYTBD,cytochrome oxidase bd (ubiquinol-8: 2 protons),(2) h[c] + (0.5) o2[c] + q8h2[c] --> (2) h[e] + h2o[c] + q8[c],Oxidative phosphorylation,,,,,
CYTBO3,cytochrome oxidase bo3 (ubiquinol-8: 2.5 protons),(2.5) h[c] + (0.5) o2[c] + q8h2[c] --> (2.5) h[e] + h2o[c] + q8[c],Oxidative phosphorylation,,,,,
LDH_D2,D-lactate dehydrogenase,[c]lac-D + q8 --> pyr + q8h2,Oxidative phosphorylation,EC-1.1.2.4,,,,
DMSOR1,Dimethyl sulfoxide reductase (Menaquinol 8),[c]dmso + mql8 --> dms + h2o + mqn8,Oxidative phosphorylation,,,,,
DMSOR2,Dimethyl sulfoxide reductase (Demethylmenaquinol 8),[c]2dmmql8 + dmso --> 2dmmq8 + dms + h2o,Oxidative phosphorylation,,,,,
TMAOR1,Trimethylamine N-oxide reductase (menaquinol 8),[c]h + mql8 + tmao --> h2o + mqn8 + tma,Oxidative phosphorylation,,,,,
TMAOR2,Trimethylamine N-oxide reductase (demethylmenaquinol 8),[c]2dmmql8 + h + tmao --> 2dmmq8 + h2o + tma,Oxidative phosphorylation,,,,,
FDH2,formate dehydrogenase (quinone-8: 2 protons),for[c] + (3) h[c] + q8[c] --> co2[c] + (2) h[e] + q8h2[c],Oxidative phosphorylation,EC-1.2.2.1,,,,
FDH3,Formate Dehydrogenase (menaquinone-8: 2 protons),for[c] + (3) h[c] + mqn8[c] --> co2[c] + (2) h[e] + mql8[c],Oxidative phosphorylation,EC-1.2.2.1,,,,
GLCDe,Glucose dehydrogenase (ubiquinone-8 as acceptor),glc-D[e] + h2o[e] + q8[c] --> glcn[e] + h[e] + q8h2[c],Oxidative phosphorylation,,140,,,
G3PD7,glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),[c]2dmmq8 + glyc3p --> 2dmmql8 + dhap,Oxidative phosphorylation,EC-1.1.99.5,,,,
G3PD6,glycerol-3-phosphate dehydrogenase (menaquinone-8),[c]glyc3p + mqn8 --> dhap + mql8,Oxidative phosphorylation,EC-1.1.99.5,,,,
G3PD5,glycerol-3-phosphate dehydrogenase (ubiquinone-8),[c]glyc3p + q8 --> dhap + q8h2,Oxidative phosphorylation,EC-1.1.99.5,,,,
HYD3,Hydrogenase (Demethylmenaquinone-8: 2 protons),2dmmq8[c] + (2) h[c] + h2[c] --> 2dmmql8[c] + (2) h[e],Oxidative phosphorylation,EC-1.18.99.1,,,,
HYD1,hydrogenase (ubiquinone-8: 2 protons),(2) h[c] + h2[c] + q8[c] --> (2) h[e] + q8h2[c],Oxidative phosphorylation,EC-1.18.99.1,,,,
HYD2,Hydrogenase (menaquinone8: 2 protons),(2) h[c] + h2[c] + mqn8[c] --> (2) h[e] + mql8[c],Oxidative phosphorylation,EC-1.18.99.1,,,,
NO3R1,Nitrate reductase (Ubiquinol-8),(2) h[c] + no3[c] + q8h2[c] --> (2) h[e] + h2o[c] + no2[c] + q8[c],Oxidative phosphorylation,EC-1.7.99.4,,,,
NO3R2,Nitrate reductase (Menaquinol-8),(2) h[c] + mql8[c] + no3[c] --> (2) h[e] + h2o[c] + mqn8[c] + no2[c],Oxidative phosphorylation,,,,,
NADH5,NADH dehydrogenase (ubiquinone-8 ),[c]h + nadh + q8 --> nad + q8h2,Oxidative phosphorylation,EC-1.6.5.3,,,,
NADH9,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),[c]2dmmq8 + h + nadh --> 2dmmql8 + nad,Oxidative phosphorylation,EC-1.6.5.3,,,,
NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),[c]h + mqn8 + nadh --> mql8 + nad,Oxidative phosphorylation,EC-1.6.5.3,,,,
NTRIR2x,Nitrite Reductase,[c](5) h + (3) nadh + no2 --> (2) h2o + (3) nad + nh4,Oxidative phosphorylation,,"58,140",,,
NADH6,NADH dehydrogenase (ubiquinone-8 & 3.5 protons),(4.5) h[c] + nadh[c] + q8[c] --> (3.5) h[e] + nad[c] + q8h2[c],Oxidative phosphorylation,EC-1.6.5.3,,,,
NADH7,NADH dehydrogenase (menaquinone-8 & 2 protons),(3) h[c] + mqn8[c] + nadh[c] --> (2) h[e] + mql8[c] + nad[c],Oxidative phosphorylation,EC-1.6.5.3,,,,
NADH8,NADH dehydrogenase (demethylmenaquinone-8 & 2.8 protons),2dmmq8[c] + (3.8) h[c] + nadh[c] --> 2dmmql8[c] + (2.8) h[e] + nad[c],Oxidative phosphorylation,EC-1.6.5.3,,,,
THD2,NAD(P) transhydrogenase,(2) h[e] + nadh[c] + nadp[c] --> (2) h[c] + nad[c] + nadph[c],Oxidative phosphorylation,EC-1.6.1.1,,,,
POX,pyruvate oxidase,[c]h2o + pyr + q8 --> ac + co2 + q8h2,Oxidative phosphorylation,EC-1.2.2.2,,,,
SUCD4,succinate dehyrdogenase,[c]fadh2 + q8 <==> fad + q8h2,Oxidative phosphorylation,EC-Undetermined,,,,
TEST_NADTRHD,NAD transhydrogenase,[c]nad + nadph --> nadh + nadp,Oxidative phosphorylation,EC-Undetermined,,,,
TMAOR1e,Trimethylamine N-oxide reductase (menaquinol 8),h[e] + mql8[c] + tmao[e] --> h2o[e] + mqn8[c] + tma[e],Oxidative phosphorylation,,"39,110",,,
TMAOR2e,Trimethylamine N-oxide reductase (demethylmenaquinol 8),2dmmql8[c] + h[e] + tmao[e] --> 2dmmq8[c] + h2o[e] + tma[e],Oxidative phosphorylation,,"39,110",,,
DMSOR1e,Dimethyl sulfoxide reductase (Menaquinol 8),dmso[e] + mql8[c] --> dms[e] + h2o[e] + mqn8[c],Oxidative phosphorylation,,39,,,
DMSOR2e,Dimethyl sulfoxide reductase (Demethylmenaquinol 8),2dmmql8[c] + dmso[e] --> 2dmmq8[c] + dms[e] + h2o[e],Oxidative phosphorylation,,39,,,
TRDR,thioredoxin reductase (NADPH),[c]h + nadph + trdox --> nadp + trdrd,Oxidative phosphorylation,EC-1.6.4.5,,,,
PGL,6-phosphogluconolactonase,[c]6pgl + h2o --> 6pgc + h,Pentose Phosphate Cycle,EC-3.1.1.31,,,,
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,[c]2ddg6p --> g3p + pyr,Pentose Phosphate Cycle,EC-4.1.2.14,,,,
EDD,6-phosphogluconate dehydratase,[c]6pgc --> 2ddg6p + h2o,Pentose Phosphate Cycle,,,,,
GND,phosphogluconate dehydrogenase,[c]6pgc + nadp --> co2 + nadph + ru5p-D,Pentose Phosphate Cycle,EC-1.1.1.44,,,,
RPE,ribulose 5-phosphate 3-epimerase,[c]ru5p-D <==> xu5p-D,Pentose Phosphate Cycle,EC-5.1.3.1,69,,,
RPI,ribose-5-phosphate isomerase,[c]r5p <==> ru5p-D,Pentose Phosphate Cycle,EC-5.3.1.6,,,,
TALA,transaldolase,[c]g3p + s7p <==> e4p + f6p,Pentose Phosphate Cycle,EC-2.2.1.2,,,,
TKT1,transketolase,[c]r5p + xu5p-D <==> g3p + s7p,Pentose Phosphate Cycle,EC-2.2.1.1,,,,
TKT2,transketolase,[c]e4p + xu5p-D <==> f6p + g3p,Pentose Phosphate Cycle,EC-2.2.1.1,,,,
G6PDH2r,glucose 6-phosphate dehydrogenase,[c]g6p + nadp <==> 6pgl + h + nadph,Pentose Phosphate Cycle,EC-1.1.1.49,,,,
GMPS2,GMP synthase,[c]atp + gln-L + h2o + xmp --> amp + glu-L + gmp + (2) h + ppi,Purine and Pyrimidine Biosynthesis,EC-6.3.5.2,,,,
IMPD,IMP dehydrogenase,[c]h2o + imp + nad --> h + nadh + xmp,Purine and Pyrimidine Biosynthesis,EC-1.1.1.205,,,,
GMPR,GMP reductase,[c]gmp + (2) h + nadph --> imp + nadp + nh4,Purine and Pyrimidine Biosynthesis,EC-1.6.6.8,,,,
ADSS,adenylosuccinate synthase,[c]asp-L + gtp + imp --> dcamp + gdp + (2) h + pi,Purine and Pyrimidine Biosynthesis,EC-6.3.4.4,,,,
ADSL2r,adenylosuccinate lyase,[c]25aics <==> aicar + fum,Purine and Pyrimidine Biosynthesis,EC-4.3.2.2,,,,
ADSL1r,adenylsuccinate lyase,[c]dcamp <==> amp + fum,Purine and Pyrimidine Biosynthesis,EC-4.3.2.2,,,,
PRASCS,phosphoribosylaminoimidazolesuccinocarboxamide synthase,[c]5aizc + asp-L + atp <==> 25aics + adp + h + pi,Purine and Pyrimidine Biosynthesis,EC-6.3.2.6,,,,
PRAGSr,phosphoribosylglycinamide synthase,[c]atp + gly + pram <==> adp + gar + h + pi,Purine and Pyrimidine Biosynthesis,EC-6.3.4.13,,,,
AIRC3,phosphoribosylaminoimidazole carboxylase (mutase rxn),[c]5aizc <==> 5caiz,Purine and Pyrimidine Biosynthesis,,73,,,
GLUPRT,glutamine phosphoribosyldiphosphate amidotransferase,[c]gln-L + h2o + prpp --> glu-L + ppi + pram,Purine and Pyrimidine Biosynthesis,EC-2.4.2.14,,,,
AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,[c]10fthf + aicar <==> fprica + thf,Purine and Pyrimidine Biosynthesis,EC-2.1.2.3,,,,
IMPC,IMP cyclohydrolase,[c]h2o + imp <==> fprica,Purine and Pyrimidine Biosynthesis,EC-3.5.4.10,,,,
AIRC2,phosphoribosylaminoimidazole carboxylase,[c]air + atp + hco3 --> 5caiz + adp + h + pi,Purine and Pyrimidine Biosynthesis,,73,,,
PRFGS,phosphoribosylformylglycinamidine synthase,[c]atp + fgam + gln-L + h2o --> adp + fpram + glu-L + h + pi,Purine and Pyrimidine Biosynthesis,EC-6.3.5.3,,,,
PRAIS,phosphoribosylaminoimidazole synthase,[c]atp + fpram --> adp + air + (2) h + pi,Purine and Pyrimidine Biosynthesis,EC-6.3.3.1,,,,
GARFT,phosphoribosylglycinamide formyltransferase,[c]10fthf + gar <==> fgam + h + thf,Purine and Pyrimidine Biosynthesis,EC-2.1.2.2,,,,
GART,GAR transformylase-T,[c]atp + for + gar --> adp + fgam + h + pi,Purine and Pyrimidine Biosynthesis,,,,,
ASPCT,aspartate carbamoyltransferase,[c]asp-L + cbp --> cbasp + h + pi,Purine and Pyrimidine Biosynthesis,EC-2.1.3.2,,,,
DHORTS,dihydroorotase,[c]dhor-S + h2o <==> cbasp + h,Purine and Pyrimidine Biosynthesis,EC-3.5.2.3,,,,
DHORD2,dihydoorotic acid dehydrogenase (quinone8),[c]dhor-S + q8 --> orot + q8h2,Purine and Pyrimidine Biosynthesis,EC-1.3.3.1,,,,
DHORD5,dihydroorotic acid (menaquinone-8),[c]dhor-S + mqn8 --> mql8 + orot,Purine and Pyrimidine Biosynthesis,EC-1.3.3.1,,,,
ORPT,orotate phosphoribosyltransferase,[c]orot5p + ppi <==> orot + prpp,Purine and Pyrimidine Biosynthesis,EC-2.4.2.10,,,,
OMPDC,orotidine-5'-phosphate decarboxylase,[c]h + orot5p --> co2 + ump,Purine and Pyrimidine Biosynthesis,EC-4.1.1.23,,,,
CTPS2,CTP synthase (glutamine),[c]atp + gln-L + h2o + utp --> adp + ctp + glu-L + (2) h + pi,Purine and Pyrimidine Biosynthesis,EC-6.3.4.2,,,,
CBMK,Carbamate kinase,[c]atp + co2 + nh4 --> adp + cbp + (2) h,Putative,EC-2.7.2.2,,,,
AMANAPE,N-acetylmannosamine 6-phoshpate epimerase,[c]acmanap --> acgam6p,Putative,,84,,,
AMANK,N-acetyl-D-mannosamine kinase,[c]acmana + atp --> acmanap + adp + h,Putative,EC-2.7.1.60,84,,,
ALLTNt2r,allantoin transport in via proton symport,alltn[e] + h[e] <==> alltn[c] + h[c],Putative Transporters,,,,,
ARGORNt7,arginine/ornithine antiporter,arg-L[e] + orn[c] <==> arg-L[c] + orn[e],Putative Transporters,,,,,
ACACt2,acetoacetate transport via proton symport,acac[e] + h[e] <==> acac[c] + h[c],Putative Transporters,,,,,
BUTt2r,"Butyrate transport via proton symport, reversible",but[e] + h[e] <==> but[c] + h[c],Putative Transporters,,,,,
CYNTt2,Cyanate transport via proton symport,cynt[e] + h[e] --> cynt[c] + h[c],Putative Transporters,,"105,142",,,
GALCTt2r,"D-galactarte transport via proton symport, reversible",galct-D[e] + h[e] <==> galct-D[c] + h[c],Putative Transporters,,,,,
GLCRt2r,"D-glucarate transport via proton symport, reversible",glcr[e] + h[e] <==> glcr[c] + h[c],Putative Transporters,,,,,
PPPNt2r,"3-phenylpropionate transport via proton symport, reversible",h[e] + pppn[e] <==> h[c] + pppn[c],Putative Transporters,,,,,
HPPPNt2r,"3-(3-hydroxyphenyl)propionate transport via proton symport, reversible",3hpppn[e] + h[e] <==> 3hpppn[c] + h[c],Putative Transporters,,25,,,
HCINNMt2r,"3-hydroxycinnamic acid transport via proton symport, reversible",3hcinnm[e] + h[e] <==> 3hcinnm[c] + h[c],Putative Transporters,,25,,,
GLUABUTt7,4-aminobutyrate/glutamate antiport,4abut[c] + glu-L[e] <==> 4abut[e] + glu-L[c],Putative Transporters,,,,,
ALAt2r,L-alanine reversible transport via proton symport,ala-L[e] + h[e] <==> ala-L[c] + h[c],Putative Transporters,,93,,,
URAt2r,"uracil transport in via proton symport, reversible",h[e] + ura[e] <==> h[c] + ura[c],Putative Transporters,,,,,
GLYBt2r,"Glycine betaine transport via proton symport, reversible",glyb[e] + h[e] <==> glyb[c] + h[c],Putative Transporters,,,,,
CHLabc,choline transport via ABC system,atp[c] + chol[e] + h2o[c] --> adp[c] + chol[c] + h[c] + pi[c],Putative Transporters,,,,,
GLYBabc,Glycine betaine transport via ABC system,atp[c] + glyb[e] + h2o[c] --> adp[c] + glyb[c] + h[c] + pi[c],Putative Transporters,,,,,
TARTRt7,Tartrate/succinate antiporter,succ[c] + tartr-L[e] <==> succ[e] + tartr-L[c],Putative Transporters,,,,,
SUCCabc,Succinate transport via ABC system,atp[c] + h2o[c] + succ[e] --> adp[c] + h[c] + pi[c] + succ[c],Putative Transporters,,110,,,
GUAt2,guanine transport in via proton symport,gua[e] + h[e] --> gua[c] + h[c],Putative Transporters,,,,,
XANt2,xanthine transport in via proton symport,h[e] + xan[e] --> h[c] + xan[c],Putative Transporters,,,,,
ACKr,acetate kinase,[c]ac + atp <==> actp + adp,Pyruvate metabolism,EC-2.7.2.1,,,,
ACS,acetyl-CoA synthetase,[c]ac + atp + coa --> accoa + amp + ppi,Pyruvate metabolism,EC-6.2.1.1,,,,
ADHEr,Acetaldehyde dehydrogenase,[c]accoa + (2) h + (2) nadh <==> coa + etoh + (2) nad,Pyruvate metabolism,EC-Undetermined,,,,
LDH_D,D-lactate dehydrogenase,[c]lac-D + nad <==> h + nadh + pyr,Pyruvate metabolism,EC-1.1.1.28,,,,
FHL,Formate-hydrogen lyase,[c]for + h --> co2 + h2,Pyruvate metabolism,,127,,,
PTAr,phosphotransacetylase,[c]accoa + pi <==> actp + coa,Pyruvate metabolism,EC-2.3.1.8,,,,
PFL,pyruvate formate lyase,[c]coa + pyr --> accoa + for,Pyruvate metabolism,EC-Undetermined,,,,
SDPTA,succinyldiaminopimelate transaminase,[c]akg + sl26da <==> glu-L + sl2a6o,Threonine and Lysine Metabolism,EC-2.6.1.17,,,,
ASAD,aspartate-semialdehyde dehydrogenase,[c]aspsa + nadp + pi <==> 4pasp + h + nadph,Threonine and Lysine Metabolism,EC-1.2.1.11,,,,
DHDPS,dihydrodipicolinate synthase,[c]aspsa + pyr --> 23dhdp + h + (2) h2o,Threonine and Lysine Metabolism,EC-4.2.1.52,,,,
DHDPRy,dihydrodipicolinate reductase (NADPH),[c]23dhdp + h + nadph --> nadp + thdp,Threonine and Lysine Metabolism,EC-1.3.1.26,,,,
THDPS,tetrahydropicolinate succinylase,[c]h2o + succoa + thdp --> coa + sl2a6o,Threonine and Lysine Metabolism,EC-2.3.1.117,,,,
SDPDS,succinyl-diaminopimelate desuccinylase,[c]h2o + sl26da --> 26dap-LL + succ,Threonine and Lysine Metabolism,EC-3.5.1.18,,,,
DAPE,diaminopimelate epimerase,[c]26dap-LL <==> 26dap-M,Threonine and Lysine Metabolism,EC-5.1.1.7,,,,
LYSDC,lysine decarboxylase,[c]h + lys-L --> 15dap + co2,Threonine and Lysine Metabolism,EC-4.1.1.18,,,,
THRAr,Threonine Aldolase,[c]thr-L <==> acald + gly,Threonine and Lysine Metabolism,EC-4.1.2.5,"20,78",,,
DAPDC,diaminopimelate decarboxylase,[c]26dap-M + h --> co2 + lys-L,Threonine and Lysine Metabolism,EC-4.1.1.20,,,,
HSDy,homoserine dehydrogenase (NADPH),[c]hom-L + nadp <==> aspsa + h + nadph,Threonine and Lysine Metabolism,EC-1.1.1.3,,,,
ASPK,aspartate kinase,[c]asp-L + atp <==> 4pasp + adp,Threonine and Lysine Metabolism,EC-2.7.2.4,,,,
HSK,homoserine kinase,[c]atp + hom-L --> adp + h + phom,Threonine and Lysine Metabolism,EC-2.7.1.39,,,,
THRS,threonine synthase,[c]h2o + phom --> pi + thr-L,Threonine and Lysine Metabolism,EC-4.2.3.1,,,,
12PPDt,"S-Propane-1,2-diol facilitated transport",12ppd-S[e] <==> 12ppd-S[c],"Transport, Extracellular",,125,,,
