Abbreviation,KEGG ID
Piperitenone,C01951
Piperonal,C10812
Piplartine,C10166
Pipobroman,C07362
Pipracil,C07361
Piptanthine,C10779
Piquerol A,C09887
Pirbuterol,C07807
Pirenzepine,C07508
Pirimicarb,C11079
Pirinixic acid,C15617
Piroxicam,C01608
Pisatin,C10516
Piscerythramine,C10518
Pisiferic acid,C09163
Pithecolobine,C10611
Pitrazepin,C13794
Pittoside A,C08969
Pivampicillin,C11750
Plakinamine A,C16894
Plakinamine B,C16895
Plakortic acid,C17158
Plantaginin,C17056
Plantagoside,C17531
Plantamajoside,C10485
Planteose,C03848
Plasmenylcholine,C00958
Plasmenylethanolamine,C04756
Plasmin,C00471
Plasminogen,C00520
Plastoquinal-9,C02184
Plastoquinol,C16693
Plastoquinol-1,C02185
Plastoquinol-9,C16695
Plastoquinone,C02061
Plastoquinone A,C10385
Plastoquinone-1,C16694
Platenolide I,C12202
Platycodin A,C17443
Platycodin C,C17487
Platycodin D,C17410
Platydesmine,C16721
Platyphylline,C10363
Plaunol B,C09166
Plaunol D,C09168
Pleniradin,C09530
Plenolin,C09531
Pleuromutilin,C09169
Pleurostyline,C10612
Plicatic acid,C10873
Plocamene B,C17110
Plocamene C,C17109
Plocamene D,C17105
Plocamene E,C17108
Plumbagin,C10387
Plumericin,C09796
Plumieride,C09797
Podecdysone B,C08832
Podocarpic acid,C09171
Podolactone B,C09172
Podolide,C09173
Podophyllotoxin,C10874
Podophyllotoxone,C10875
Podorhizol beta-D-glucoside,C10876
Polar amino acid,C06699
Polhovolide,C09532
Polidocanol,C13493
Poliovirus polyprotein,C03304
Pollinastanol,C08833
Poly(A),C00895
Poly(ADPribose),C06743
Poly(D-galactosamine),C03168
Poly(G),C01445
"Poly(alpha-L-1,4-guluronate)",C03893
Poly-L-glutamate,C05930
Poly-beta-hydroxybutyrate,C06143
Poly-gamma-D-glutamate,C05723
Poly[(R)-3-hydroxybutanoate]n,C11551
Poly[(R)-3-hydroxybutanoate]x,C11552
Poly[(R)-3-hydroxyoctanoate]n,C11549
Poly[(R)-3-hydroxyoctanoate]x,C11550
Polyamine,C06702
Polyarginine,C01952
Polybrene,C11205
Polybutene,C17390
Polycarpine,C09610
Polygalacin D,C17441
Polygalacturonide,C02579
Polygodial,C09712
Polygonimitin B,C17809
Polygonolide,C09963
Polymyxin B,C11612
Polymyxin B sulfate,C11613
Polyneuridine aldehyde,C11632
Polynucleotide,C00419
Polynucleotide 5'-diphosphate,C16669
Polyoxin B,C06692
Polypeptide,C00403
Polyphosphate,C00890
Polypodine B,C08834
Polyprenol,C06081
Polyprenyl diphosphate,C05847
Polyprenyl phosphate,C01048
Polyprenylphosphate-glucose,C03799
Polyproline,C01843
Polysialic acid acetylated at O-7,C04505
Polysialic acid acetylated at O-9,C08721
Polysulfate of cellulose,C03535
Polysulfate of charonin,C03426
Polythiazide,C07766
Polyvinyl acetate,C12282
Polyvinyl sulfate,C13724
Pomiferin,C10519
Ponalactone A,C09174
Ponasterone A,C08835
Poncirin,C09830
Populin,C10823
Poriferasterol,C08836
Porphyran,C00775
Porphyrin,C05113
Porphyropsin,C05920
Porritoxin,C10613
Portulacaxanthin I,C08564
Portulacaxanthin II,C08565
Portulacaxanthin III,C08566
Portulal,C09175
Poststerone,C08837
Potassium acetate,C12554
Potassium bromide,C13198
Potassium dibasic phosphate,C13197
Potassium dichromate,C15227
Potassium hydroxide,C12568
Potassium iodide,C08219
Potassium oxonate,C15997
Potassium sulfate,C13192
Povidone-iodine,C08043
Powelline,C12163
Practolol,C11696
Pradimicin A,C06784
Pradimicin B,C06783
Pradimicin C,C06786
Pradimicinone I,C06777
Pradimicinone II,C06780
Pralidoxime,C07400
Pramoxine,C07892
Pratensein,C10520
Pravastatin,C01844
Prazepam,C07366
Praziquantel,C07367
Prazosin,C07368
Pre-tRNA,C01522
Prebetanin,C08567
Precocene 2,C09018
Precocene I,C09017
Precorrin 1,C15527
Prednisolone,C07369
Prednisolone 21-all-cis-farnesylate,C13554
Prednisolone sodium succinate,C12666
Prednisolone tebutate,C08182
Prednisone,C07370
Preforan,C11064
"Pregna-4,16-diene-3,11,20-trione",C15146
"Pregna-4,9(11)-diene-3,20-dione",C04084
"Pregna-5,16,20-triene-3beta,20-diol diacetate",C15046
Pregnan-21-al,C00891
Pregnan-21-ol,C00892
Pregnane,C01523
Pregnanetriolone,C15368
Pregnenolone,C01953
Pregnenolone acetate,C14658
Pregnenolone sulfate,C18044
Prekinamycin,C12393
Preludin,C07433
Premarrubiin,C09177
Premithramycin A1,C12384
Premithramycin A2',C12385
Premithramycin A3,C12387|C12386
Premithramycin B,C12388
Premithramycinone,C12383
Prenal,C15604
Prenalterol,C07533
Prenol,C17628|C01390
Prenortestosterone,C15257
Prenyl caffeate,C10487
Prenyl-Cys methyl esters,C11614
Prenyl-L-cysteine,C06751
Prenylbenzoquinone,C10389
Prephytoene diphosphate,C03427
Pretazettine,C08536
Pretilachlor,C14517
Previtamin D(3),C07711
Pricortin,C08180
Prilocaine,C07531
Primaquine,C07627
Primary amine,C00893
Primary diamine,C02311
Primetin,C10121
Primeverose,C08245
Primidolol,C11774
Primidone,C07371
Primin,C10390
Primolut depot,C08148
Primulasaponin,C08970
Prinomide,C10958
Pristimerin,C08633
Pristinamycin IB,C11616
Pristinamycin IC,C11617
Pro-Xaa,C01446
ProPAM,C11765
Proacaciberin,C08337
Proacacipetalin,C08338
Proangiotensin,C02246
Proansamitocin,C12177
Proansamycin X,C12176
Proanthocyanidin A2,C10237
Probenecid,C07372
Probucol,C07373
Procainamide,C07401
Procaine,C07375
Procarbazine,C07402
Prochloraz,C11182
Prochlorperazine,C07403
Proclavaminate,C06658
Procollagen,C00833
Procollagen 5-(D-galactosyl)-L-lysine,C04487
Procollagen L-proline,C01078
Procollagen trans-3-hydroxy-L-proline,C04397
Procollagen trans-4-hydroxy-L-proline,C04398
Procollagenase,C00910
Procyanidin B2,C17639
Procyanidin B4,C10238
Procyanidin B5,C17640
Procyclidine,C07378
Procymidone,C10986
Products of ATP breakdown,C07305
Proflavine,C11181
Progeldanamycin,C15823
Progesterone,C00410
Progoitrin,C08425
Proguanil,C07631
Prokallikrein,C02062
Prolactin-releasing peptide-20,C16087
Prolactin-releasing peptide-31,C16086
Prolixin decanoate,C07956
Prolixin enanthate,C07955
Prolyl-2-naphthylamide,C03305
Prolyl-peptide,C02186
Promazine,C07379
Promegestone,C14208
Promethazine,C07404
Prometon,C14186
Pronamide,C14333
Pronetalol,C11707
Prontosil,C07573
Propafenone,C07381
"Propane-1,2-diol 1-phosphate",C03894
Propanethiol,C08390
Propantheline,C07506
Propantheline chloride,C11762
Propapyriogenin A2,C08971
Proparacaine,C07383
Propazine,C14312
Propenal,C01471
Propene,C11505
Propiconazole,C11121
Propioin,C02948
Propiomazine,C07405
Propionyladenylate,C05983
Propionylagmatine,C02581
Propiverine,C07852
Propofol,C07523
Propoxycaine,C07895
Propoxyphene,C07406
Propranolol,C07407
Propyl cinnamate,C06360
Propyl gallate,C11155
Propylthiouracil,C07569
Propynoate,C00804
Prostaglandin B1,C00959
Prostaglandin C1,C04686
Prostaglandin D1,C06438
Prostaglandin D2,C00696
Prostaglandin D3,C13802
Prostaglandin E3,C06439
Prostaglandin F1alpha,C06475
Prostaglandin F3alpha,C06476
Prostaglandin H2,C00427
Prostalidin A,C10877
Prostanoic acid,C02064
Prosulfuron,C10950
Protamine,C01609
Protandren,C14493
Proteacin,C08339
Protein 5-hydroxylysine,C03429
Protein C-terminal S-farnesyl-L-cysteine,C04506
Protein C-terminal S-farnesyl-L-cysteine methyl ester,C04748
Protein Cys-Cys,C02461
Protein L-citrulline,C03022
Protein L-cysteine,C02743
Protein L-isoaspartate,C03306
Protein L-isoaspartate methyl ester,C04311
Protein N(omega)-Methyl-L-arginine,C04143
Protein N-(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)3-beta-D-mannosyl- diacetylchitobiosyl)-L-asparagine,C05883
Protein N-pros-phosphohistidine,C04261
Protein N-tele-phosphohistidine,C04262
Protein N-ubiquityllysine,C03635
Protein N5-alkylglutamine,C03636
"Protein N6,N6,N6-trimethyl-L-lysine",C05546
"Protein N6,N6-dimethyl-L-lysine",C05545
Protein N6-(dihydrolipoyl)lysine,C16832
Protein N6-(lipoyl)lysine,C16237
Protein N6-(octanoyl)lysine,C16236
Protein N6-methyl-L-lysine,C05544
Protein Ntau-methyl-L-histidine,C04087
Protein S-methyl-L-cysteine,C03800
Protein alanine,C02065
"Protein alpha-D-glucosyl-1,2-beta-D-galactosyl-L-hydroxylysine",C04817
Protein asparagine,C03021
Protein aspartate,C05169
Protein beta-D-galactosyl-L-hydroxylysine,C04542
Protein disulfide,C02582
Protein dithiol,C02315
Protein glutamate,C00614
Protein glutamate methyl ester,C04142
Protein glutamine,C02583
Protein histidine,C00615
Protein lysine,C16740|C02188
Protein serine,C02189|C06395
Protein serine D-xyloside,C03637
Protein tyrosine,C00585
Protein tyrosine phosphate,C01167
Protein tyrosine-O-sulfate,C03721
"Protein(Arg,Arg-Pro)",C05046
"Protein(Arg-,Lys-,Phe-)",C05047
"Protein(Gly-,Ala-,Val-,Leu-,Ile-)",C05048
"Protein(N-Glu, Asp, Cystine)",C03896
"Protein(Phe-,Leu)",C05049
Protein-Nomega-(ADP-D-ribosyl)-L-arginine,C16011
Proteoglycan,C00866
Prothrombin,C00834
Protoanemonin,C07090
Protoaphin aglucone,C02879
Protochlorophyllide,C02880
Protodioscin,C08907
Protoemetine,C11816
Protogracillin,C08908
Protomycinolide IV,C15685
Protopine,C05189
Protorifamycin I,C12246
Protoveratrine A,C10815
Protoveratrine B,C10816
Protoverine,C10817
Protriptyline,C07408
Provincialin,C09533
Provitamin D3,C01164
Proxigermanium,C13086
Prunetin,C10521
Prunin,C09099
Pseudoaconitine,C08704
Pseudobaptigenin,C10522
Pseudoconhydrine,C10168
Pseudocumene,C14533
Pseudoecgonine,C12449
Pseudoecgonyl-CoA,C12450
Pseudohypericin,C10392
Pseudoivalin,C09534
Pseudolycorine,C12187
Pseudonigeran,C02068
Pseudopelletierine,C10865
Pseudoprotodioscin,C17469
Pseudopurpurin,C10394
Pseudotropine,C02066
Pseudouridine,C02067
Psicofuranin,C05342
Psilocin,C08312
Psilocybin,C07576
Psoralidin,C10523
Psorospermin,C10090
Psychosine,C01747
Psychosine sulfate,C02744
Psychotridine,C09233
Psychotrine,C09612
Ptaerochromenol,C09029
Ptaeroglycol,C09030
Pteleatine,C10734
Pteridine,C07581
Pterin,C00715
Pteroic acid,C07582
Pterosterone,C08838
Pterostilbene,C10287
Pteroylpoly-gamma-glutamate,C03801
Pteryxin,C09307
Puerarin,C10524
Puerarin xyloside,C17057
Pukateine,C09613
Pulegone,C09893|C17623
Pullulan,C00480
Pulverochromenol,C09031
Pulvomycin,C12070
Pumiloside,C16723
Punicic acid,C08364
Purine mononucleotide,C05325
Puromycin dihydrochloride,C11618
Purpureacin-1,C08505
Purpureaside C,C10488
Purpurin,C10395
Purpurin 1-methyl ether,C10397
Purpurogallin,C09964
Putaminoxin,C08509
Putidaredoxin,C02069
Pycnamine,C09615
Pycnolide,C09535
Pydrin,C10988
Pyochelin,C12037
Pyoverdine I,C15718
Pyranose,C15592
Pyranoside,C15594
Pyrantel,C07409
Pyrazinamide,C01956
Pyrazolate,C11123
Pyrazole,C00481
Pyrene,C14335
Pyrethrin I,C07594
Pyrethrin II,C09894
Pyrethrosin,C09536
Pyrethrum,C14941
Pyricarbate,C12842
Pyriculol,C16788
Pyridarone,C14591
Pyridine,C00747
Pyridostigmine,C07410
Pyrilamine,C11798
Pyrimethamine,C07391
Pyrimethanil,C11180
Pyrimidine,C00396
Pyrimidine 5'-deoxynucleotide,C08249
Pyrimidine 5'-nucleotide,C03536
Pyrimidodiazepine,C02587
PyroGlu-His-Xaa,C02317
PyroGlu-His-Xaa-Gly,C02881
Pyrogallol,C01108
Pyronine,C11179
Pyropheophorbide a,C18064
Pyrrole-2-carboxyl-[pcp],C12483
Pyrrole-2-carboxylate,C05942
Pyrrolnitrin,C12491
Pyrrolysine,C16138
Pyruvate oxime,C02193
Pyruvophenone,C17268
Pyrvinium,C07412
QUOSP,C12667
Quadrigemine A,C09234
Quadrone,C09537
Quartz,C16459
Quassimarin,C08777
Quassin,C17013|C17029|C17012|C08778
Quaternary amine,C06703
Quazepam,C07336
Quebrachamine,C09235
Quercetagetin,C10122
"Quercetin 3,3',7-trissulfate",C03897
"Quercetin 3,3'-bissulfate",C01155
"Quercetin 3,4',7-trissulfate",C03898
"Quercetin 3,4'-bissulfate",C01156
Quercetin 3-(2G-xylosylrutinoside),C10175
Quercetin 3-O-[beta-D-xylosyl-(1->2)-beta-D-glucoside],C12637
Quercetin 3-O-malonylglucoside,C12638
Quercetin 3-sophorotrioside,C12668
Quercetin 3-sulfate,C00616
Quercetin 7-O-glucoside,C03430
Quercimeritrin,C12639
Quercitrin,C01750
Questin,C01448
Questinol,C17811
Quetiapine,C07397
Quillaic acid,C08972
Quinaldate,C06325
Quinalphos,C11030
Quinapril,C07398
Quinapril hydrochloride,C07340
Quinestrol,C07619
Quinethazone,C07342
Quinidine,C06527
Quinidinone,C16728
Quinine,C06526
"Quinolin-2,8-diol",C06342
Quinolin-4-ol,C06343
Quinoline,C06413
"Quinoline-3,4-diol",C06330
Quinoline-3-carboxamides,C11694
"Quinoline-4,6-diol",C05639
"Quinoline-4,8-diol",C05637
Quinovose,C08352
Quinquangulin,C09044
Quinupristin,C08032
Quinupristin-dalfopristin,C08034
Quisqualic acid,C08296
R,C05693
R'C(R)S-S(R)CR',C02318
R'C(R)SH,C01525
R-CHOH-CO-CH2OH,C02319
R-CHOH-R',C01612
R-CN,C00726
R-CO-R',C01450
R-L3,C13824
R-S-Alanine,C05726
R-S-Cysteinylglycine,C05729
R-S-Glutathione,C02320
R-S-S-R,C15496
R-Soterenol,C11769
R.g.-Keto I,C16277
R.g.-Keto III,C16278
R207910,C14122
RBr,C00720
RCH2NH2,C00375
RCHO,C00071
RCl,C01334
RFRP-1,C16109
RFRP-2,C16045
RFRP-3,C16110
RH,C01371
RHg+,C01343
RI,C01321
RING,C05426
RNA (poly(C)),C02072
RNA (poly(U)),C00549
RNA 3'-terminal-phosphate,C03638
RNA 5'-phosphate,C00960
"RNA terminal-2',3'-cyclic-phosphate",C04312
RNA(circular),C02073
RO19-4603,C13716
ROH,C01335
ROOH,C15498
RS 5139,C11373
RS 61443,C07908
RSH,C16736|C01336
RU 5135,C13797
RU-0211,C13707
RU-486,C07652
RU66647,C12009
RX,C01322
Rabelomycin,C12402
Rabeprazole,C07864
Rabeprazole sodium,C07865
Radiatin,C09539
Radium-224,C16455
Radium-226,C16456
Radium-228,C16457
Radon-222,C16454
Raiser,C11100
Ralgin,C12958
Ramentaceone,C10398
Ramoplanin A2,C12008
Ranatensin,C16175
Randainol,C10878
Ranunculin,C08512
Rapanone,C10399
Rattex,C05851
Raucaffricine,C02074
Reactive black 5,C16001
Reactive blue 2,C13746
Red chlorophyll catabolite,C18022
"Reduced 2,6-Dichlorophenolindophenol",C05720
Reduced Vitamin K,C05850
Reduced azurin,C05358
Reduced coenzyme F420,C01080
Reduced electron-transferring flavoprotein,C04570
Reduced flavodoxin,C02745
Reduced flavoprotein,C03024
Reduced insulin,C02288
Reduced methylene blue,C05721
Reduced nicotinamide riboside,C15497
Reduced plastocyanin,C03025
Reduced-(S)-usnate,C02747
Rehmaionoside A,C17450
Rehmaionoside B,C17451
Rehmaionoside C,C17452
Relaxin-1,C16121
Relaxin-2,C16122
Relaxin-3,C16123
Remifentanil,C08021
Remikiren,C07465
Rengyol,C17527
Renilla luciferin,C00982
Renillafoulin A,C16859
Repaglinide,C07670
Resacetophenone,C03663|C13635
Resazurin,C11178
Rescinnamine,C06540
Reserpine,C06539
Resibufogenin,C17058
Resiniferatoxin,C09179
Resiniferonol,C09178
Resistomycin,C12080
Resivit,C05906
Resmethrin,C10991
Resorcin,C01751
Resorcinol monoacetate,C12064
Resveratrol,C03582
Retamine,C10780
Reticuline,C12328
Retinal,C00376
Retinene 2,C05918
Retinol,C00473
Retinol palmitate,C02588
Retinol-(cellular-retinol-binding-protein),C17276
Retinoyl glucuronide,C11061
Retinyl ester,C02075
Retinyl-ester-(cellular-retinol-binding-protein),C04680
Retronecine,C06177
Retrorsine,C10364
Rh2cit,C16583
Rh3cit,C16598
Rhamnetin,C10176
Rhamnocitrin,C17059
Rhapontin,C10288
Rhazin,C09026
Rhein,C10401
Rhexifoline,C09986
Rhipocephalin,C09714
Rhizocticin A,C17944
Rhizocticin B,C17940
Rhizocticin C,C17960
Rhizocticin D,C17961
Rhodamine 123,C11190
Rhodamine 6G,C11177
Rhodanine,C07280
Rhodexin A,C08877
Rhododendrin,C09965
Rhodojaponin IV,C09180
Rhodomycin D,C12426
Rhodopin,C15870
Rhodopinal,C16270
Rhodopinal glucoside,C16271
Rhodopsin,C00778
Rhodovibrin,C15878
Rhodoxanthin,C08610
Rhoeadine,C09619
Rhoifolin,C12627
Rhombifoline,C10781
Rhyncophylline,C09236
Ribalinium,C10735
Ribitol,C00474
Ribitol 5-phosphate,C01068
"Riboflavin cyclic-4',5'-phosphate",C16071
Ribonucleoside,C00911
Ribonucleoside diphosphate,C03723
Ribonucleoside triphosphate,C03802
Ribose triphosphate,C02884
Ribosomal-protein L-alanine,C03803
Ribosomal-protein N-acetyl-L-alanine,C04341
Ribulose,C05052
Riccionidin A,C08728
Ricin,C01362
Ricinine,C01526
Ricinoleic acid,C08365
Riddelline,C10375
Ridentin,C09540
Rifabutin,C07235
Rifampin,C06688
Rifamycin,C12044
Rifamycin B,C01848
Rifamycin O,C01849
Rifamycin S,C14540
Rifamycin W,C12247
Rifamycin W-hemiacetal,C14722
Rifamycin Z,C14723
Rifapentine,C08059
Rilmenidine,C11120
Riluzole,C07937
Rimantadine,C07236
Rimantadine hydrochloride,C08094
Rimocidine,C15821
Rimorphin,C16135
Rimsulfuron,C10952
Rinderine,C10378
Rindoside,C17919
Risedronate,C08233
Rishitin,C09715
Ritodrine,C07239
Ritonavir,C07240
Rivastigmine,C11766
Rivularine,C10278
Ro 18-5364,C15665
Ro 61-8048,C14126
Robinetin,C10177
Robinetinidol-(4alpha->8)-catechin-(6->4alpha)-robinetinidol,C10239
Robinin,C10178
Robinobiose,C08246
Robustadial A,C09966
Robustaflavone,C10179
Robustaol A,C09968
Robustine,C10736
Rocuronium,C07556
Rodiasine,C09624
Rofecoxib,C07590
Rolitetracycline nitrate,C12933
Romicil,C01946
Ropinirole,C07564
Ropivacaine,C07532
Roridin A,C09716
Rosinidin,C08729
Rosmarinate,C01850
Rosmarinine,C10380
Rotenone,C07593
Rotenonone,C10525
Rottlerin,C10721
Rotundifolone,C09896
Rotundioside B,C08973
Rovrol,C11208
Roxburghine B,C09237
Roxithromycin,C13173
Royleanone,C09182
Rubber,C02321|C16689
Rubiadin,C10402
Rubidium,C17061
Rubixanthin,C08611
Rubratoxin B,C16767
Rubrofusarin,C09047
Rubrophen,C14612
Rubschisandrin,C10621
Rufloxacin,C11240
Rugosal,C09717
Rugosin D,C10240
Rugosinone,C09634
Rugulosin,C16764
Ruscogenin,C08909
Ruscopine,C08510
Ruscoside,C08910
Ruspolinone,C10169
Rutacridone,C10738
Rutacridone epoxide,C10739
Rutaevin,C08779
Rutamarin,C09308
Rutamycin,C11314
Rutarin,C09309
Rutecarpine,C09238
Ruthenium red,C13932
Rutin,C05625
Rutinose,C08247
Ryanodine,C08705
S 1033,C15450
S 1319,C16880
S 8308,C15551
S-(17beta-Hydroxy-3-oxoandrost-4-en-7alpha-yl)propanethioate,C14973
"S-(2,2-Dichloro-1-hydroxy)ethyl glutathione",C14861
"S-(2,4-Dinitrophenyl)glutathione",C11175
S-(2-Chloroacetyl)glutathione,C14864
S-(2-Hydroxyacyl)glutathione,C03899
S-(2-Hydroxyethyl)-N-acetyl-L-cysteine,C14876
S-(2-Hydroxyethyl)glutathione,C14875
S-(2-Methylbutanoyl)-dihydrolipoamide-E,C15979
S-(3-Methylbutanoyl)-dihydrolipoamide-E,C15975
S-(4-Bromophenyl)-L-cysteine,C03900
S-(4-Bromophenyl)-mercaptopyruvate,C04264
S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine,C17242
S-(5-Hydroxy-2-furoyl)-CoA,C03724
S-(Formylmethyl)glutathione,C14871
S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine,C17238
S-(Indolylmethylthiohydroximoyl)-L-cysteine,C16518
S-(N-Hydroxy-N-methylcarbamoyl)glutathione,C04572
S-(PGA1)-glutathione,C11304
S-(Phenylacetothiohydroximoyl)-L-cysteine,C17237
S-(p-Azidophenacyl)glutathione,C11315
S-23031,C10990
S-23121,C10993
S-53482,C11035
S-Acetylphosphopantetheine,C03725
S-Acetylthioethanolamine,C03537
S-Acylglutathione,C02589
S-Alkyl thiosulfate,C02885
S-Alkyl-L-cysteine,C02749
S-Alkyl-L-cysteine S-oxide,C03726
S-Alkyl-thiohydroximate,C17262
S-Allyl-L-cysteine,C16759
S-Aryl-L-cysteine,C02882
S-Citramalate,C02614
S-Decyl GSH,C11303
S-Formylmycothiol,C06718
S-Glutaryldihydrolipoamide-E,C06157
S-Glutathionyl-L-cysteine,C05526
S-Hexyl-glutathione,C02886
S-Inosyl-L-homocysteine,C03431
S-Methyl GSH,C11347
S-Methyl-1-thio-D-glycerate,C03804
S-Methyl-3-phospho-1-thio-D-glycerate,C04399
S-Methylthioglycolate,C03173
S-Octyl GSH,C11302
S-Palmitoylprotein,C17202
S-Succinylglutathione,C03174
S-Sulfanylglutathione,C17267
S-[(E)-Prop-1-enyl]-L-cysteine S-oxide,C08295
S-[2-(N7-Guanyl)ethyl]-N-acetyl-L-cysteine,C14877
S2hglut,C03196
S9947,C13771
SALICYLALDEHYDE,C06202
SB 200646,C11739
SB 206553,C11740
SB 218655,C14316
SB 221284,C11741
SB 228357,C11742
SB 243213,C11743
SC-1271,C10969
SC-57666,C11706
SC-58125,C11705
SCE 2787,C11203
SDS,C11166
SITS,C13702
SK&F 86466,C10970
SK&F 91581,C11799
SKI22936,C14632
SM-17466,C12018
SN-38,C11173
SN-38 carboxylate form,C11366
SN-38G,C11376
SN38 glucuronide carboxylate form,C11375
SQ 26180,C16842
SQDG,C13508
SR 12813,C15628
SR 141716,C14319
SR95531,C13796
SSR 125543,C14129
SUBERATE,C08278
SUN 5555,C13310
SW 163C,C15763
Sabinene,C16777
Sabinene hydrate,C02462
Saccharin sodium anhydrous,C12284
Saccharocin,C17998
Safranal,C17062
Safrole,C10490
Safynol,C08458
Saikosaponin A,C08975
Saikosaponin BK1,C08976
Sainfuran,C08974
Sakuranetin,C09833
Sakuranin,C17391
Salannin,C08780
Salfredin,C05152
Salicifoline,C17063
Salicylhydroxamic acid,C11343
Salicylurate,C07588
Salidroside,C06046
Salinomycin,C15690
Salmefamol,C11771
Salmeterol,C07241
Salonitenolide,C09542
Salsolinol,C09642
Salutaridine,C05179
Salutaridinol,C05220
Salutaridinol acetate,C05322
Salvarsan,C11744
Salvianin,C12647
Salvianolic acid A,C10492
Samaderin A,C08781
Samidin,C09310
Sanchinoside C1,C08946
Sanggenon C,C09834
Sanggenon D,C09835
Sanguilutine,C12228
Sanguinarine,C06162
Sanguinine,C12232
Sanguirubine,C12230
Sannamycin A,C17710
Sannamycin B,C17711
Santamarin,C09544
Santin,C10180
Sapelin A,C08634
Saphenamycin,C12311
Saphenic acid,C12117
Saphenic acid methyl ester,C12118
Saponarin,C08064
Saponoside D,C08977
Saquinavir mesilate,C12560
Sarafotoxin S6b,C16176
Sarcostin,C17770
Sarin,C11764
Sarisan,C10493
Sarmentoloside,C08878
Sarmentosin,C08340
Sarmentosin epoxide,C08341
Sarothralin,C09969
Sarpagan-17-ol,C11635
Sarpagine,C09239
Sarracine,C10383
Sarsaparilloside,C08911
Sarsasapogenin,C03963
Sarsasapogenin 3-O-4G-rhamnosylsophoroside,C08912
Sativanine B,C10013
Saucernetin,C10879
Saupirin,C09547
Sauroxine,C09895
Savinin,C10880
Saxitoxin,C13757
Sayanedine,C10527
Scabraside,C17918
Scandoside methyl ester,C09798
Sceptrin,C17166
Sch 59884,C14816
Schaftoside,C10181
Schisantherin A,C10881
Schizandrin,C17064
Schizonepetoside A,C17634
Schizonepetoside B,C17635
Schizonepetoside C,C17636
Schizonepetoside D,C17637
Schizonepetoside E,C17638
Schottenol,C08839
Sciadopitysin,C10182
Scillaren A,C08879
Scilliroside,C08880
Sclareol,C09183
Sclerosporin,C09721
Scolymoside,C12630
Scoparone,C09311
Scopolamine,C01851
Scopoletin,C01752
Scopolin,C01527
Scopoline,C10866
Scopoloside I,C17921
Scopoloside II,C17922
Scorpioidin,C09548
Scoulerine,C12326
Scullcapflavone II,C10183
Scutellarein,C10184
Scutianine F,C10014
Scymnol,C16260
Scytalone,C00779
Se-Adenosylselenohomocysteine,C05692
Se-Methyl-L-selenocysteine,C08293
Se-Methylselenocysteine,C05689
Se-Methylselenomethionine,C05690
Se-Propenylselenocysteine se-oxide,C05706
Secalciferol,C07712
Secogalioside,C11674
Secologanate,C01957
Secologanin,C01852
Secondary amine,C02324
Securinine,C10614
Sedoheptulose 1-phosphate,C06222
Seiricardine A,C09722
Selachyl alcohol,C13860
Selagine,C09897
Selegiline,C07245
Selenate,C05697
Selenite,C05684
Selenium,C01529
Selenocystathionine,C05699
Selenocystine,C05704
Selenohomocysteine,C05698
Selenohomocystine,C05707
Selenomethionine se-oxide,C05708
Selenomethionyl-tRNA(Met),C05336
Selenoprotein,C16824
Selfotel,C13735
Semidione,C05309
Sempervirine,C09240
Semustine,C07640
Senaetnine,C10386
Senampeline A,C10388
Senecionine,C06176
Senecionine N-oxide,C15612
Seneciphylline,C10391
Senecivernine,C10393
Senegalensin,C09724
Senegin II,C08978
Senkirkine,C10396
Sennoside,C13940
Sennoside A,C10404
Sennoside B,C13526
Sennoside C,C16797
Sennoside D,C16798
Sepiapterin,C00835
Septacidin,C15754
Septentrionine,C08706
Sequoyitol,C03365
Sergeolide,C08782
Serine phosphoethanolamine,C03872
Sermorelin,C08192
Serotonin,C00780
Serpentine,C09241
Serratanidine,C09899
Serratanine B,C09891
Serratine,C09901
Sertindole,C07567
Sertraline,C07246
Sesamin,C10882
Sesamol,C10832
Sesamolinol,C10883
Sesamose,C08248
Sesartemin,C10884
Seselin,C09312
Sesquicarene,C17065
Sevoflurane,C07520
Sexangularetin,C10185
Shale oils,C16458
Shanzhiside,C17066
Shihunine,C10615
Shikodonin,C09184
Shikonin,C17412
Shionon,C17966
Shiromodiol diacetate,C09725
Shisonin,C12096
Si,C06263
Siaresinol,C17067
Sibiricoside A,C17536
Sibiricoside B,C17537
Sibutramine,C07247
Silandrin,C08600
Sildenafil,C07259
Silvex,C14532
Silybin,C07610
Silychristin,C08717
Simalikilactone D,C08783
Simazine,C11172
Simethicone,C07261
Simetryn,C14457
Simplexin,C09185
Simplexoside,C10885
Sinactine,C17898
Sinalbin,C08426
Sinapaldehyde,C05610
Sinapate,C00482
Sinapine,C00933
Sinapoyl malate,C02887
Sinapoyl-CoA,C00411
Sinapoyltartronate,C02750
Sinapyl alcohol,C02325
Sinensetin,C10186
Single-stranded DNA,C00271
Single-stranded nucleotide,C03730
Sinigrin,C08427
Sinomenine,C09643
Sirenin,C09733
Sirodesmin H,C10617
Sirolimus,C07909
Sisomicin,C00494
Sitosterol,C01753
Skatole,C08313
Skimmianine,C10740
Slaframine,C06185
Smilagenin,C08913
Sodium 3-ethyl-7-isopropyl-1-azulenesulfonate,C13414
Sodium arsenite,C11906
Sodium bicarbonate,C12603
Sodium caffeine benzoate,C13403
